Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/,,,,,
Simulated Calorimeter,Parr #0001,,,,,
Sample Name,Azulene,,,Change Temp,4.13,
Formula,C10H8,,,Cal Const,10.1,
Molecular Weight (g/mol),128.174,,,Heat Absorbed,-41.713,"exothermic, negative value"
Sample Weight (g),1.0272,,,Wire Change,0.002,
Water Temp (deg C),24.2,,,q wire,5.858,kJ/g
Room Temp (deg C),23,,,Heat Wire,0.011716,
Water Volume (L),2,,,Nap Heat,-41.724716,kJ/g
Wire Before (g),0.026,,,MM Nap,128.17,g/mol
Wire After (g),0.024,,,Mol Comb,-5347.85685,
#ERROR!,#ERROR!,,,,,
Time (s),Temperature (C),,,,,
0,24.2,,,HNap,-5494.758639,
30,24.2,,,HAz,-5347.85685,
60,24.19,,,HOverall,146.9017893,
90,24.22,,,,,
120,24.19,,,,,
150,24.22,,,,,
180,24.18,,,,,
210,24.2,,,,,
240,24.22,,,,,
270,24.19,,,,,
300,24.21,,,,,
330,24.94,,,,,
360,26.1,,,,,
390,27.01,,,,,
420,27.59,,,,,
450,27.95,,,,,
480,28.15,,,,,
510,28.26,,,,,
540,28.33,,,,,
570,28.35,,,,,
600,28.36,,,,,
630,28.36,,,,,
660,28.37,,,,,
690,28.38,,,,,
720,28.36,,,,,
750,28.35,,,,,
780,28.36,,,,,
810,28.36,,,,,
840,28.36,,,,,
870,28.34,,,,,
900,28.35,,,,,
930,28.33,,,,,
960,28.33,,,,,
