Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6155
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9991
Water Temp (deg C),24.10
Room Temp (deg C),23.25
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.09
90.00,24.12
120.00,24.10
150.00,24.08
180.00,24.11
210.00,24.09
240.00,24.11
270.00,24.08
300.00,24.11
330.00,24.49
360.00,25.16
390.00,25.69
420.00,26.07
450.00,26.28
480.00,26.41
510.00,26.53
540.00,26.58
570.00,26.59
600.00,26.62
630.00,26.62
660.00,26.64
690.00,26.62
720.00,26.63
750.00,26.61
780.00,26.63
810.00,26.61
840.00,26.61
870.00,26.63
900.00,26.59
930.00,26.59
960.00,26.60
