Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6155
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9991
Water Temp (deg C),24.10
Room Temp (deg C),23.63
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.12
90.00,24.10
120.00,24.09
150.00,24.11
180.00,24.12
210.00,24.08
240.00,24.09
270.00,24.11
300.00,24.10
330.00,24.50
360.00,25.14
390.00,25.70
420.00,26.08
450.00,26.28
480.00,26.42
510.00,26.53
540.00,26.58
570.00,26.59
600.00,26.62
630.00,26.62
660.00,26.63
690.00,26.64
720.00,26.63
750.00,26.64
780.00,26.64
810.00,26.65
840.00,26.64
870.00,26.62
900.00,26.64
930.00,26.61
960.00,26.63
