Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6155
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),0.9476
Water Temp (deg C),24.10
Room Temp (deg C),23.40
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.10
60.00,24.09
90.00,24.08
120.00,24.09
150.00,24.10
180.00,24.10
210.00,24.10
240.00,24.09
270.00,24.08
300.00,24.08
330.00,24.62
360.00,25.50
390.00,26.19
420.00,26.67
450.00,26.96
480.00,27.17
510.00,27.28
540.00,27.35
570.00,27.38
600.00,27.41
630.00,27.43
660.00,27.45
690.00,27.45
720.00,27.44
750.00,27.42
780.00,27.42
810.00,27.44
840.00,27.40
870.00,27.43
900.00,27.41
930.00,27.42
960.00,27.42
