Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/,,,,,
Simulated Calorimeter,Parr #0001,,,,,
Sample Name,Naphthalene,,,Change Temp,4.24,
Formula,C10H8,,,Cal Const,10.1,
Molecular Weight (g/mol),128.174,,,Heat Absorbed,-42.824,"exothermic, negative value"
Sample Weight (g),1.0775,,,Wire Change,0.008,
Water Temp (deg C),24.1,,,q wire,5.858,kJ/g
Room Temp (deg C),24.44,,,Heat Wire,0.046864,
Water Volume (L),2,,,Nap Heat,-42.870864,kJ/g
Wire Before (g),0.024,,,MM Nap,128.17,g/mol
Wire After (g),0.016,,,Mol Comb,-5494.758639,
#ERROR!,#ERROR!,,,,,
Time (s),Temperature (C),,,,,
0,24.1,,,,,
30,24.09,,,,,
60,24.1,,,,,
90,24.08,,,,,
120,24.1,,,,,
150,24.09,,,,,
180,24.11,,,,,
210,24.07,,,,,
240,24.1,,,,,
270,24.09,,,,,
300,24.11,,,,,
330,24.85,,,,,
360,26.06,,,,,
390,26.95,,,,,
420,27.55,,,,,
450,27.93,,,,,
480,28.12,,,,,
510,28.25,,,,,
540,28.29,,,,,
570,28.34,,,,,
600,28.36,,,,,
630,28.36,,,,,
660,28.36,,,,,
690,28.36,,,,,
720,28.37,,,,,
750,28.36,,,,,
780,28.37,,,,,
810,28.37,,,,,
840,28.35,,,,,
870,28.35,,,,,
900,28.35,,,,,
930,28.32,,,,,
960,28.34,,,,,
