Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6155
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0531
Water Temp (deg C),24.40
Room Temp (deg C),24.48
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.39
60.00,24.39
90.00,24.42
120.00,24.42
150.00,24.41
180.00,24.40
210.00,24.38
240.00,24.39
270.00,24.40
300.00,24.40
330.00,25.06
360.00,26.10
390.00,26.96
420.00,27.55
450.00,27.91
480.00,28.15
510.00,28.27
540.00,28.38
570.00,28.40
600.00,28.44
630.00,28.45
660.00,28.48
690.00,28.46
720.00,28.47
750.00,28.47
780.00,28.44
810.00,28.46
840.00,28.48
870.00,28.47
900.00,28.45
930.00,28.45
960.00,28.45
