Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6155
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0882
Water Temp (deg C),24.30
Room Temp (deg C),22.09
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.32
90.00,24.28
120.00,24.31
150.00,24.28
180.00,24.30
210.00,24.30
240.00,24.29
270.00,24.29
300.00,24.28
330.00,24.55
360.00,25.02
390.00,25.39
420.00,25.63
450.00,25.77
480.00,25.85
510.00,25.92
540.00,25.95
570.00,26.00
600.00,26.01
630.00,26.01
660.00,26.01
690.00,26.02
720.00,25.99
750.00,26.02
780.00,26.01
810.00,26.01
840.00,25.98
870.00,25.98
900.00,26.00
930.00,25.97
960.00,26.00
